portfolio,leg,ticker,weight_pct,trailing_2y_beta,signed_beta_contribution,beta_observations
cash,long,TENB,4.76150900,1.01221379,0.04819665,500
cash,long,YOU,4.43374700,0.77709665,0.03445450,500
cash,long,QLYS,4.39567400,0.84855821,0.03729985,500
cash,long,GEN,4.37581000,0.90148943,0.03944746,500
cash,long,FFIV,4.33773700,1.02822957,0.04460189,500
cash,long,IT,4.23676000,0.77784431,0.03295540,500
cash,long,KD,4.23344900,1.23512195,0.05228826,500
cash,long,ANET,4.15895800,1.85453277,0.07712924,500
cash,long,CHKP,4.15399200,0.44123933,0.01832905,500
cash,long,AVPT,4.14902600,1.07610618,0.04464793,500
cash,long,OKTA,4.14074800,1.19545601,0.04950082,500
cash,long,ESTC,4.12750600,1.32881456,0.05484690,500
cash,short,TSLA,-6.12929500,2.36047992,-0.14468078,500
cash,short,CVNA,-4.08510100,2.22621123,-0.09094298,500
cash,short,YUM,-3.98961500,0.31272075,-0.01247635,500
cash,short,COIN,-3.86607400,2.61309865,-0.10102433,500
cash,short,TTWO,-3.70634300,0.66096118,-0.02449749,500
cash,short,RIVN,-3.68211800,1.50530260,-0.05542702,500
cash,short,MSCI,-3.67557100,0.67058622,-0.02464787,500
cash,short,FLUT,-3.41520800,0.96257507,-0.03287394,500
cash,short,MOH,-3.37295900,0.08157036,-0.00275133,500
cash,short,PODD,-3.33892300,0.63372729,-0.02115967,500
cash,short,CSGP,-3.18637200,0.72083419,-0.02296846,500
cash,short,ATO,-3.18220500,0.10460931,-0.00332888,500
cash,short,WTRG,-2.86530000,-0.13374304,0.00383214,500
tradexyz,long,PLTR,15.21107200,2.07085991,0.31499999,500
tradexyz,long,MSFT,15.21107200,0.96604358,0.14694558,500
tradexyz,long,AMZN,15.21107200,1.39958253,0.21289151,500
tradexyz,long,INTC,15.21107200,2.02177380,0.30753347,500
tradexyz,short,COIN,-9.78892800,2.61309865,-0.25579435,500
tradexyz,short,CRCL,-9.78892800,2.22935230,-0.21822969,300
tradexyz,short,TSLA,-9.78892800,2.36047992,-0.23106568,500
tradexyz,short,HOOD,-9.78892800,2.83089557,-0.27711433,500
