date,long_eps_expectations_index,long_eps_expectations_90d_index,long_realized_ttm_sales_growth_pct,long_forward_eps_yield_pct,long_forward_pe_equivalent,short_eps_expectations_index,short_eps_expectations_90d_index,short_realized_ttm_sales_growth_pct,short_forward_eps_yield_pct,short_forward_pe_equivalent,tradexyz_long_eps_expectations_index,tradexyz_long_eps_expectations_90d_index,tradexyz_long_realized_ttm_sales_growth_pct,tradexyz_long_forward_eps_yield_pct,tradexyz_long_forward_pe_equivalent,tradexyz_short_eps_expectations_index,tradexyz_short_eps_expectations_90d_index,tradexyz_short_realized_ttm_sales_growth_pct,tradexyz_short_forward_eps_yield_pct,tradexyz_short_forward_pe_equivalent
2024-08-16,,,3.226467,,,,,4.758413,,,,,12.530982,,,,,,,
2024-08-23,100.000000,,3.226467,4.317644,23.160778,100.000000,,4.758413,0.917672,108.971447,100.000000,,12.530982,3.021279,33.098562,,,,,
2024-08-30,100.763401,,3.436610,4.299976,23.255942,102.067061,,4.758413,1.041544,96.011269,100.609440,,12.530982,3.072217,32.549780,,,,,
2024-09-06,101.581864,,3.205534,4.372645,22.869452,103.376990,,4.758413,1.098013,91.073592,100.799568,,12.530982,3.001423,33.317530,,,,,
2024-09-13,100.913072,,3.205534,4.561370,21.923239,106.445437,,4.758413,1.143641,87.439999,100.713145,,12.530982,3.238205,30.881302,,,,,
2024-09-20,101.323732,,3.205534,4.382389,22.818602,107.557839,,4.758413,1.092061,91.569997,101.212648,,12.530982,3.038679,32.909042,,,,,
2024-09-27,101.747906,,3.205534,4.300175,23.254866,109.154781,,4.758413,0.855052,116.952016,101.706390,,12.530982,2.905896,34.412799,,,,,
2024-10-04,102.184578,,3.205534,4.312182,23.190115,110.525579,,4.758413,0.788385,126.841658,102.306166,,12.530982,2.878213,34.743778,,,,,
2024-10-11,102.607874,,3.205534,4.313819,23.181317,111.929651,,4.758413,0.644241,155.221500,102.724808,,12.530982,2.959242,33.792440,,,,,
2024-10-18,103.009704,,3.205534,4.176429,23.943900,113.604886,,4.758413,0.685076,145.969120,103.810566,,12.530982,2.921386,34.230324,,,,,
2024-10-25,103.414912,,3.205534,4.218988,23.702364,116.907189,,5.378266,0.597971,167.232328,104.316343,,11.645216,2.976710,33.594133,,,,,
2024-11-01,103.865168,,2.518252,4.312007,23.191059,118.147055,,5.766040,0.663292,150.763131,104.300012,,10.743707,2.955226,33.838363,,,,,
2024-11-08,104.871825,,1.498761,4.386769,22.795822,119.683150,,5.496733,0.678252,147.437888,103.217133,,12.556584,2.832940,35.299016,,,,,
2024-11-15,105.108278,,2.222607,4.156351,24.059567,124.600612,,5.635377,0.651697,153.445575,104.177758,,12.556584,2.606877,38.360075,,,,,
2024-11-22,105.230270,,2.317943,4.234295,23.616681,127.875372,,5.661372,0.658214,151.926320,105.363735,,12.556584,2.725722,36.687533,,,,,
2024-11-29,107.583214,,2.443045,4.049449,24.694718,130.098379,,5.661372,0.670021,149.249046,105.921931,,12.556584,2.771561,36.080747,,,,,
2024-12-06,107.923912,,2.279330,4.025233,24.843283,131.395089,,5.661372,1.005684,99.434823,106.002607,,12.556584,2.722031,36.737273,,,,,
2024-12-13,108.438381,,2.279330,3.941686,25.369852,132.676533,,5.661372,1.142748,87.508327,107.266911,,12.556584,2.763718,36.183145,,,,,
2024-12-20,108.906699,,2.279330,4.014560,24.909327,136.203717,,5.661372,1.333265,75.003842,107.899009,,12.556584,2.816139,35.509615,,,,,
2024-12-27,109.338197,,2.279330,4.125865,24.237344,139.100614,,5.661372,1.420700,70.387827,107.295937,,12.556584,2.886639,34.642359,,,,,
2025-01-03,109.796134,,2.279330,4.155849,24.062469,140.591579,,5.661372,1.425216,70.164826,107.757872,,12.556584,2.887418,34.633024,,,,,
2025-01-10,110.207659,,2.279330,4.154334,24.071245,142.853228,,5.661372,1.750175,57.137127,108.010441,,12.556584,2.891300,34.586521,,,,,
2025-01-17,110.654722,,2.279330,4.224297,23.672579,142.700005,,5.661372,1.619690,61.740201,108.282830,,12.556584,3.049590,32.791289,,,,,
2025-01-24,111.171169,,2.279330,4.117920,24.284104,142.959446,,5.661372,1.537032,65.060466,109.279333,,12.556584,2.884470,34.668417,,,,,
2025-01-31,111.633707,,2.371463,4.055345,24.658812,143.419952,,5.408594,1.347439,74.214866,110.044200,,13.289877,2.854968,35.026661,,,,,
2025-02-07,110.442580,,1.989566,3.997353,25.016554,144.650865,,5.415038,1.301338,76.843966,105.604854,,9.194605,2.549884,39.217473,,,,,
2025-02-14,110.955563,,3.293971,3.982291,25.111175,143.116026,,6.683668,1.282411,77.978114,104.731072,,11.271069,2.509162,39.853936,,,,,
2025-02-21,111.271984,,3.364480,3.994734,25.032954,150.078753,,6.890934,1.514236,66.039900,105.901050,,11.296592,2.399257,41.679576,,,,,
2025-02-28,111.693449,,3.510746,4.148251,24.106545,151.194625,,6.963439,1.444357,69.234976,106.115459,,11.283668,2.450444,40.808938,,,,,
2025-03-07,112.913403,,3.282354,4.228333,23.649981,153.336112,,4.631557,1.293335,77.319503,107.799424,,11.283668,2.591752,38.583937,,,,,
2025-03-14,113.715088,,3.282354,4.291542,23.301649,153.919740,,4.631557,1.238949,80.713554,108.442270,,11.283668,2.775704,36.026902,,,,,
2025-03-21,114.236091,,3.282354,4.411078,22.670195,154.145135,,4.631557,1.306539,76.538111,108.822588,,11.283668,2.705701,36.959004,,,,,
2025-03-28,114.615946,,3.282354,4.388861,22.784954,154.315830,,4.631557,1.404389,71.205368,109.552415,,11.283668,2.716222,36.815837,,,,,
2025-04-04,115.112624,,3.282354,4.543562,22.009164,156.244127,,4.631557,1.551842,64.439548,110.110335,,11.283668,2.841263,35.195612,,,,,
2025-04-11,115.258531,,3.282354,5.026583,19.894228,157.720650,,4.631557,1.576761,63.421158,110.569598,,11.283668,3.171027,31.535525,,,,,
2025-04-18,115.729500,,3.282354,4.782105,20.911294,156.394479,,4.631557,1.421781,70.334322,110.790418,,11.283668,2.998832,33.346321,,,,,
2025-04-25,116.210134,,3.371210,4.873603,20.518702,156.108459,,3.808015,1.462337,68.383679,112.098453,,11.283668,3.184689,31.400239,,,,,
2025-05-02,116.663741,,3.294488,4.700832,21.272830,158.928578,,4.538956,1.502433,66.558695,109.107114,,10.939700,2.731910,36.604431,,,,,
2025-05-09,117.351381,,4.656603,4.621003,21.640326,157.260759,,4.884716,1.578818,63.338518,107.955095,,10.363638,2.583611,38.705517,,,,,
2025-05-16,120.938822,,3.974123,4.551758,21.969533,158.287777,,4.729551,1.672107,59.804800,109.048492,,10.350024,2.577554,38.796464,,,,,
2025-05-23,121.803262,,3.924697,4.432936,22.558415,155.788968,,4.801951,1.642469,60.883948,111.154409,,10.350024,2.521222,39.663308,,,,,
2025-05-30,122.444313,,4.084386,4.566956,21.896425,155.261814,,4.822818,1.679480,59.542248,111.536150,,10.350024,2.619623,38.173436,,,,,
2025-06-06,123.321124,,4.711430,4.612333,21.681003,158.343633,,4.822818,1.645216,60.782274,111.976839,,10.350024,2.609383,38.323237,,,,,
2025-06-13,123.909267,,4.832079,4.468528,22.378734,159.120642,,4.822818,1.640110,60.971521,112.402258,,10.350024,2.556443,39.116858,,,,,
2025-06-20,124.459504,,4.701916,4.654017,21.486815,160.452851,,4.822818,1.609923,62.114758,112.901845,,10.350024,2.563196,39.013795,,,,,
2025-06-27,124.941675,,4.701916,4.698657,21.282677,161.503578,,4.822818,1.609088,62.146987,113.173749,,10.350024,2.543937,39.309149,100.000000,,,1.280966,78.066075
2025-07-04,125.361352,,4.701916,4.534017,22.055498,164.127215,,4.822818,1.557632,64.200026,114.293134,,10.350024,2.442489,40.941845,110.535903,,,1.334151,74.954051
2025-07-11,125.857800,,4.701916,4.394261,22.756954,163.997983,,4.822818,1.624222,61.567955,114.744095,,10.350024,2.457696,40.688520,94.853644,,,1.152384,86.776660
2025-07-18,126.639660,,4.701916,4.640105,21.551238,161.261324,,4.822818,1.626792,61.470686,115.485772,,10.350024,2.434713,41.072604,94.847442,,,1.107946,90.257143
2025-07-25,127.233277,,4.701916,4.540440,22.024295,160.921498,,3.475463,1.811769,55.194676,115.682166,,10.352963,2.418069,41.355316,94.027445,,,1.003060,99.694948
2025-08-01,127.765271,,4.695748,4.534257,22.054332,153.990376,,3.018851,1.816789,55.042161,114.614485,,11.676734,2.331124,42.897760,93.886630,,,1.063754,94.006733
2025-08-08,128.615965,,5.675831,4.844185,20.643309,154.373727,,2.999705,1.730624,57.782638,117.202774,,11.176557,2.460687,40.639058,94.496207,,,1.242578,80.477853
2025-08-15,129.743432,,7.294039,5.121540,19.525378,149.755981,,2.876287,1.534067,65.186215,118.888712,,11.158807,2.427549,41.193820,95.585301,,,1.200302,83.312389
2025-08-22,130.125515,,7.294039,5.047737,19.810858,149.754292,,2.876287,1.489911,67.118125,119.637947,,11.158807,2.310233,43.285675,86.692217,,,1.121792,89.143063
2025-08-29,130.642574,,7.479518,4.929614,20.285565,152.398042,,2.876287,1.556702,64.238369,120.069523,,11.158807,2.359910,42.374499,87.502310,,,1.154130,86.645361
2025-09-05,131.353233,,7.284319,4.936615,20.256796,152.108252,,2.876287,1.573963,63.533885,120.685032,,11.158807,2.386752,41.897942,87.285965,,,1.204915,82.993425
2025-09-12,131.891948,,7.284319,4.963999,20.145048,154.183070,,2.876287,1.697027,58.926598,120.845102,,11.158807,2.402375,41.625476,89.916025,,,1.264053,79.110629
2025-09-19,132.456060,,7.284319,5.002522,19.989915,155.074670,,2.876287,1.589171,62.925904,121.581935,,11.158807,2.425755,41.224282,88.939683,,,1.132994,88.261757
2025-09-26,132.973393,,7.284319,4.959292,20.164168,155.951317,,2.876287,1.724504,57.987686,121.966425,,11.158807,2.299274,43.491992,89.958727,,,1.060280,94.314689
2025-10-03,133.686874,,7.284319,5.058591,19.768350,157.628765,,2.876287,1.762531,56.736588,122.500916,,11.158807,2.298873,43.499574,93.464494,,,1.158865,86.291328
2025-10-10,134.066434,,7.284319,5.168180,19.349170,158.269552,,2.876287,1.549508,64.536604,123.124617,,11.158807,2.294403,43.584320,96.570837,,,1.012394,98.775783
2025-10-17,134.736705,,7.284319,5.396627,18.530095,160.079440,,2.876287,1.573607,63.548256,123.421540,,11.158807,2.327212,42.969880,101.146216,,,1.128735,88.594717
2025-10-24,135.200855,,7.284319,5.497140,18.191276,160.974299,,5.151459,1.592396,62.798435,123.972433,,11.158807,2.342226,42.694432,102.324528,,,1.199557,83.364140
2025-10-31,135.767586,,7.380220,5.362751,18.647147,156.251164,,4.289504,1.600454,62.482253,124.908807,,12.491472,2.285247,43.758954,101.434317,,,1.117921,89.451747
2025-11-07,136.049804,,8.539204,5.496007,18.195028,156.532775,,3.924230,1.778799,56.217716,128.113793,,11.968634,2.234123,44.760285,105.280135,,,1.162953,85.987989
2025-11-14,139.380563,,8.700651,5.735056,17.436622,153.910182,,4.404682,1.888398,52.954940,129.452259,,11.948512,2.321193,43.081295,106.083133,,,1.336871,74.801519
2025-11-21,140.189149,,8.599368,5.805748,17.224309,154.414776,,4.404869,2.029823,49.265368,129.948875,,11.948512,2.380083,42.015344,108.857424,,,1.519835,65.796625
2025-11-28,140.879152,,8.878002,6.055089,16.515033,154.183235,,4.404869,2.021316,49.472708,130.726782,,11.948512,2.557551,39.099898,108.220589,,,1.731211,57.763048
2025-12-05,143.165241,,8.917343,6.021098,16.608267,153.574275,,4.404869,2.032596,49.198160,130.553694,,11.948512,2.384469,41.938057,108.805972,,,1.517378,65.903151
2025-12-12,143.753850,,8.720285,5.950178,16.806221,152.369859,,4.404869,2.122139,47.122271,131.359591,,11.948512,2.414424,41.417744,109.246205,,,1.493228,66.969017
2025-12-19,144.364379,,8.720285,5.755178,17.375657,151.550118,,4.404869,2.031300,49.229547,131.816924,,11.948512,2.481567,40.297118,109.048149,,,1.556119,64.262420
2025-12-26,144.815239,,8.720285,5.851347,17.090083,152.013652,,4.404869,2.249128,44.461679,131.803571,,11.948512,2.468191,40.515510,112.375140,,,1.634939,61.164346
2026-01-02,145.303794,,8.720285,5.894337,16.965438,152.377310,,4.404869,2.175881,45.958404,132.225030,,11.948512,2.461996,40.617453,113.101086,,,1.705147,58.645983
