ticker,company,transcript_date,marketcap_usd,ai_load_financial_offset,operational_exposure,common_equity_burden
VST,VISTRA CORP,,49137000000.0000,2.8000,56.9400,54.1400
WTRG,ESSENTIAL UTILITIES INC,2026-08-05 11:00:00,11481700000.0000,2.8000,54.2000,51.4000
SWX,"Southwest Gas Holdings, Inc.",2026-08-05,6671500000.0000,0.0000,50.4300,50.4300
KEP,KOREA ELECTRIC POWER CORP,2026-08-13,14778000000.0000,16.0000,64.9000,48.9000
PEG,Public Service Enterprise Group Incorporated,2026-08-04,37845000000.0000,2.8000,49.7400,46.9400
XE,"X-Energy, Inc.",2026-08-13,6533900000.0000,5.6000,51.8000,46.2000
NEE,NEXTERA ENERGY INC,2026-07-24 09:00:00,179399900000.0000,18.4000,62.2200,43.8200
FRVO,Fervo Energy Company,2026-08-12,5987200000.0000,8.4000,50.8000,42.4000
ES,EVERSOURCE ENERGY,2026-07-31,27203500000.0000,8.4000,50.5800,42.1800
OGE,OGE ENERGY CORP,2026-04-29 13:45:00,9713500000.0000,15.6000,56.8000,41.2000
NRG,"NRG Energy, Inc.",2026-08-04,25172700000.0000,13.2000,54.1800,40.9800
BEPC,BROOKFIELD RENEWABLE CORP,2026-07-31,5197000000.0000,11.2000,52.1000,40.9000
DTE,DTE ENERGY CO,,29034500000.0000,16.6000,57.1000,40.5000
TLN,Talen Energy Corporation,2026-08-05,17172500000.0000,15.6000,54.6000,39.0000
ORA,ORMAT TECHNOLOGIES INC,,6981100000.0000,13.2000,51.5400,38.3400
BEP,BROOKFIELD RENEWABLE PARTNERS LP,2026-07-31,10780000000.0000,11.2000,49.2000,38.0000
DUK,Duke Energy Corporation (Holding Company),2026-08-04,97065100000.0000,18.2000,55.9000,37.7000
ATO,ATMOS ENERGY CORP,,28721300000.0000,13.2000,50.4300,37.2300
CEG,CONSTELLATION ENERGY CORP,2026-08-06,98724200000.0000,18.4000,55.5000,37.1000
BIP,BROOKFIELD INFRASTRUCTURE PARTNERS LP,2026-07-30,18424200000.0000,30.2000,67.3000,37.1000
UGI,UGI CORP,2026-08-06,7563100000.0000,2.8000,39.6200,36.8200
EXC,EXELON CORP,2026-07-30,47070800000.0000,13.4000,48.9200,35.5200
EIX,EDISON INTERNATIONAL,2026-07-30 16:30:00,27198700000.0000,13.2000,48.2800,35.0800
WEC,WEC ENERGY GROUP INC,2026-07-29 14:00:00,35934700000.0000,20.8000,55.4000,34.6000
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,2026-08-14,15994100000.0000,0.0000,34.3300,34.3300
PPL,PPL CORP,,26850800000.0000,20.8000,54.8600,34.0600
AWK,AMERICAN WATER WORKS COMPANY INC,2026-07-30 09:00:00,27118600000.0000,8.0000,41.3400,33.3400
NI,NiSource Inc,2026-08-05,20179900000.0000,10.6000,43.7400,33.1400
AEP,AMERICAN ELECTRIC POWER CO INC,,68256500000.0000,18.0000,49.9800,31.9800
PNW,Pinnacle West Capital Corporation,2026-08-04,12207000000.0000,15.6000,47.3600,31.7600
EVRG,"Evergy, Inc.",2026-08-06,19250100000.0000,18.4000,49.8600,31.4600
EMA,EMERA INC,,15769100000.0000,10.4000,41.8500,31.4500
AEE,AMEREN CORP,,30209100000.0000,18.4000,49.4600,31.0600
LNT,ALLIANT ENERGY CORP,,18201800000.0000,13.2000,44.2600,31.0600
FE,FIRSTENERGY CORP,,27103500000.0000,15.6000,46.2600,30.6600
PCG,PG&E CORP,2026-07-23 11:00:00,46794700000.0000,10.8000,41.2600,30.4600
ENIC,ENEL CHILE SA,,6100500000.0000,2.8000,32.6600,29.8600
OKLO,OKLO INC,,8640500000.0000,22.4000,52.0700,29.6700
TXNM,TXNM ENERGY INC,2025-05-09,5913800000.0000,12.8000,42.0200,29.2200
FTS,FORTIS INC,2026-07-31,28779000000.0000,20.8000,49.8600,29.0600
XEL,XCEL ENERGY INC,2026-07-30,49333600000.0000,10.0000,39.0000,29.0000
ENLT,Enlight Renewable Energy Ltd.,2026-08-04,11621500000.0000,8.4000,37.2000,28.8000
D,DOMINION ENERGY INC,2026-05-01 11:00:00,60282700000.0000,20.6000,48.7000,28.1000
IDA,IDACORP INC,,8162700000.0000,15.6000,43.7000,28.1000
SO,SOUTHERN CO,2026-07-30,106742200000.0000,20.8000,47.6100,26.8100
OGS,"ONE Gas, Inc.",2026-08-05,5092000000.0000,21.8000,48.4700,26.6700
SRE,SEMPRA,,56549300000.0000,21.2000,46.5100,25.3100
NJR,NewJersey Resources Corporation,2026-08-04,5635500000.0000,13.2000,38.1000,24.9000
CIG,ENERGY CO OF MINAS GERAIS,2026-08-14 10:00:00,5580500000.0000,8.4000,33.3000,24.9000
AES,AES CORP,2025-11-05,10509000000.0000,18.8000,43.5200,24.7200
GEV,GE VERNOVA INC,2026-07-22 07:30:00,279495800000.0000,39.8000,64.4000,24.6000
